INST CODE,INSTITUTE NAME,PLACE,DISTRICT,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS ,TUITION FEE,AFFILIATED
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSE,COMPUTER SCIENCE AND ENGINEERING,26303,26303,86999,86999,57408,70255,26303,26303,65938,65938,85977,99017,95181,113074,92961,118607,40634,53505,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",40918,55055,108367,111600,88878,116339,40918,55055,83466,101397,113868,113868,125450,125450,123488,123488,68772,76791,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,52680,97089,98439,98439,112273,118527,52680,97089,91412,112231,92750,97089,125323,125323,121767,124052,85742,99034,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,92254,92254,92254,108123,92254,102337,109513,109513,115206,115206,92254,93224,122491,125623,122995,124052,92254,92254,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,MEC,MECHANICAL ENGINEERING,118327,126088,118327,126088,118327,126088,118327,126088,118327,126088,118327,126088,126088,126088,118327,126088,118327,126088,60000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,97735,108732,97735,108732,113070,113070,97735,108732,112337,112337,97735,108732,125531,125531,119669,119669,97735,108732,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),31109,33478,67801,71111,51843,52291,34695,34695,45271,62238,86931,114306,107400,121606,70102,108288,35627,38780,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,20326,20326,55820,57250,38083,39834,20326,80628,33916,33916,47872,98462,58671,58671,57203,63467,25299,30373,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",37677,37677,70199,101743,47394,52867,71806,71806,42432,52112,82380,82380,102662,112481,72720,121382,38647,38825,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),41122,41139,114424,114424,63636,78526,50141,50141,53511,69422,97353,97353,119153,119153,83568,122938,41741,42370,110000,JNTUH
