INST CODE,INSTITUTE NAME,PLACE,DISTRICT,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS ,TUITION FEE,AFFILIATED
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,CSE,COMPUTER SCIENCE AND ENGINEERING,26303.0,26303.0,86999.0,86999.0,57408.0,70255.0,26303.0,26303.0,65938.0,65938.0,85977.0,99017.0,95181.0,113074.0,92961.0,118607.0,40634.0,53505.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",40918.0,55055.0,108367.0,111600.0,88878.0,116339.0,40918.0,55055.0,83466.0,101397.0,113868.0,113868.0,125450.0,125450.0,123488.0,123488.0,68772.0,76791.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,52680.0,97089.0,98439.0,98439.0,112273.0,118527.0,52680.0,97089.0,91412.0,112231.0,92750.0,97089.0,125323.0,125323.0,121767.0,124052.0,85742.0,99034.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,92254.0,92254.0,92254.0,108123.0,92254.0,102337.0,109513.0,109513.0,115206.0,115206.0,92254.0,93224.0,122491.0,125623.0,122995.0,124052.0,92254.0,92254.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,MEC,MECHANICAL ENGINEERING,118327.0,126088.0,118327.0,126088.0,118327.0,126088.0,118327.0,126088.0,118327.0,126088.0,118327.0,126088.0,126088.0,126088.0,118327.0,126088.0,118327.0,126088.0,60000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CIV,CIVIL ENGINEERING,97735.0,108732.0,97735.0,108732.0,113070.0,113070.0,97735.0,108732.0,112337.0,112337.0,97735.0,108732.0,125531.0,125531.0,119669.0,119669.0,97735.0,108732.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),31109.0,33478.0,67801.0,71111.0,51843.0,52291.0,34695.0,34695.0,45271.0,62238.0,86931.0,114306.0,107400.0,121606.0,70102.0,108288.0,35627.0,38780.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSE,COMPUTER SCIENCE AND ENGINEERING,20326.0,20326.0,55820.0,57250.0,38083.0,39834.0,20326.0,80628.0,33916.0,33916.0,47872.0,98462.0,58671.0,58671.0,57203.0,63467.0,25299.0,30373.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",37677.0,37677.0,70199.0,101743.0,47394.0,52867.0,71806.0,71806.0,42432.0,52112.0,82380.0,82380.0,102662.0,112481.0,72720.0,121382.0,38647.0,38825.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),41122.0,41139.0,114424.0,114424.0,63636.0,78526.0,50141.0,50141.0,53511.0,69422.0,97353.0,97353.0,119153.0,119153.0,83568.0,122938.0,41741.0,42370.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,44763.0,53196.0,113988.0,118180.0,72768.0,83852.0,44763.0,74514.0,64491.0,79430.0,114592.0,114628.0,124263.0,125853.0,99780.0,122763.0,54426.0,54426.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,61647.0,67014.0,96263.0,96263.0,121252.0,121252.0,61647.0,67014.0,103009.0,103009.0,61647.0,97443.0,125698.0,125698.0,102671.0,112833.0,77171.0,79621.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,INF,INFORMATION TECHNOLOGY,30636.0,33246.0,74607.0,92136.0,53448.0,53546.0,51445.0,51445.0,46895.0,61028.0,30636.0,33246.0,106510.0,121384.0,58244.0,70732.0,36981.0,39184.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,MEC,MECHANICAL ENGINEERING,87035.0,111188.0,87035.0,111188.0,105039.0,111188.0,87035.0,111188.0,101539.0,111188.0,89280.0,111188.0,102640.0,111188.0,118996.0,118996.0,87035.0,111188.0,110000.0,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005.0,CIV,CIVIL ENGINEERING,107768.0,113173.0,107768.0,113173.0,111375.0,113173.0,107768.0,113173.0,107768.0,113173.0,107768.0,113173.0,121667.0,121667.0,107768.0,126050.0,107768.0,113173.0,75000.0,JNTUH
